,t,z,Precipitation (mm),AirTemp (DegC),WindSpeed_Avg (m/s),EVI,sum_rain_10,sum_rain_20,sum_rain_30,sum_rain_40,sum_rain_50,sum_rain_60,sum_rain_70,sum_rain_80,sum_rain_90,sum_rain_100,water_content,time
6821,2273,0.762,0.0,21.473333333333333,0.5501666666666667,4492.276041666667,0.0,0.0,0.0,0.0509999999999982,2.9749999999999965,3.4849999999999985,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 17:00:00
6822,2274,0.3048,0.0,20.366666666666667,0.3018333333333333,4493.151041666667,0.0,0.0,0.0,0.0339999999999982,2.9749999999999965,3.4849999999999985,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.20275,2024-03-23 18:00:00
6823,2274,0.5588,0.0,20.366666666666667,0.3018333333333333,4493.151041666667,0.0,0.0,0.0,0.0339999999999982,2.9749999999999965,3.4849999999999985,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2434999999999999,2024-03-23 18:00:00
6824,2274,0.762,0.0,20.366666666666667,0.3018333333333333,4493.151041666667,0.0,0.0,0.0,0.0339999999999982,2.9749999999999965,3.4849999999999985,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 18:00:00
6825,2275,0.3048,0.0,18.30333333333333,0.1663333333333333,4494.026041666667,0.0,0.0,0.0,0.0339999999999982,2.9749999999999965,3.3149999999999986,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2020833333333333,2024-03-23 19:00:00
6826,2275,0.5588,0.0,18.30333333333333,0.1663333333333333,4494.026041666667,0.0,0.0,0.0,0.0339999999999982,2.9749999999999965,3.3149999999999986,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.2430416666666666,2024-03-23 19:00:00
6827,2275,0.762,0.0,18.30333333333333,0.1663333333333333,4494.026041666667,0.0,0.0,0.0,0.0339999999999982,2.9749999999999965,3.3149999999999986,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 19:00:00
6828,2276,0.3048,0.0,16.561666666666667,0.1508333333333333,4494.901041666667,0.0,0.0,0.0,0.0169999999999982,2.9749999999999965,3.076999999999998,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 20:00:00
6829,2276,0.5588,0.0,16.561666666666667,0.1508333333333333,4494.901041666667,0.0,0.0,0.0,0.0169999999999982,2.9749999999999965,3.076999999999998,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.243,2024-03-23 20:00:00
6830,2276,0.762,0.0,16.561666666666667,0.1508333333333333,4494.901041666667,0.0,0.0,0.0,0.0169999999999982,2.9749999999999965,3.076999999999998,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 20:00:00
